conclusion,applicability,externalsources,appno,violation,languageisocode,originatingbody,itemid,importance,judgementdate,docname,ecli,scl,nonviolation,doctype,representedby,separateopinion,respondent,rulesofcourt,issue,referencedate,publishedby,doctypebranch,article,rank,extractedappno
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-3-a) Manifestly ill-founded;Violation of Article 6+6-3-d - Right to a fair trial (Article 6 - Criminal proceedings;Article 6-1 - Fair hearing;Article 6-3 - Rights of defence) (Article 6 - Right to a fair trial;Article 6-3-d - Examination of witnesses);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction),,,2205/16,6;6+6-3-d;6-1;6-3;6-3-d,ENG,7,001-207365,3,19/01/2021 00:00:00,CASE OF KESKİN v. THE NETHERLANDS,ECLI:CE:ECHR:2021:0119JUD000220516,"Al Khawaja and Tahery v. the United Kingdom [GC], nos. 26766/05 and 22228/06, ECHR 2011;Avetisyan v. Armenia, no. 13479/11, § 63, 10 November 2016;Aviakompaniya A.T.I., ZAT v. Ukraine, no. 1006/07, §§ 27-33, 5 October 2017;Boshkoski v. North Macedonia, no. 71034/13, § 37, 4 June 2020;Cabral v. the Netherlands, no. 37617/10, §§ 42-43, 28 August 2018;Chernika v. Ukraine, no. 53791/11, § 82, 12 March 2020;D.T. v. the Netherlands (dec.), no. 25307/10, § 47, 2 April 2013;El Khalloufi v. the Netherlands (dec.), no. 37164/17, 26 November 2019;Gäfgen v. Germany [GC], no. 22978/05, § 169, ECHR 2010;Ibrahim and Others v. the United Kingdom [GC], nos. 50541/08 and 3 others, § 251, 13 September 2016;Khodorkovskiy and Lebedev v. Russia (no. 2), nos. 51111/07 and 42757/05, § 484, 14 January 2020;Khodorkovskiy and Lebedev v. Russia, nos. 11082/06 and 13772/05, § 712, 25 July 2013;Lucà v. Italy, no. 33354/96, ECHR 2001 II;Mitkus v. Latvia, no. 7259/03, §§ 102 and 106, 2 October 2012;Murtazaliyeva v. Russia [GC], no. 36658/05, 18 December 2018;Öcalan v. Turkey [GC], no. 46221/99, § 210 in fine, ECHR 2005 IV;Pello v. Estonia, no. 11423/03, § 31, 12 April 2007;Perna v. Italy [GC], no. 48898/99, ECHR 2003 V;Poropat v. Slovenia, no. 21668/12, § 42, 9 May 2017;Riahi v. Belgium, no. 65400/10, § 41, 14 June 2016;Romić and Others v. Croatia, nos. 22238/13 and 6 others, § 85, 14 May 2020;S.N. v. Sweden, no. 34209/96, § 47, ECHR 2002 V;Schatschaschwili v. Germany [GC], no. 9154/10, ECHR 2015;Sejdovic v. Italy [GC], no. 56581/00, § 126, ECHR 2006-II;Seton v. the United Kingdom, no. 55287/10, § 63, 31 March 2016;Talmane v. Latvia, no. 47938/07, § 31, 13 October 2016;Taxquet v. Belgium [GC], no. 926/05, § 84, ECHR 2010;Trampevski v. the former Yugoslav Republic of Macedonia, no. 4570/07, § 49, 10 July 2012;Van der Kolk v. the Netherlands [Committee], no. 23192/15, § 5, 28 May 2019;Van Mechelen and Others v. the Netherlands, 23 April 1997, § 50, Reports of Judgments and Decisions 1997 III;Vidal v. Belgium, 22 April 1992, § 33, Series A no. 235 B",,HEJUD,DIEBEN TH.O.M.; BAUMGARDT R.J.,FALSE,NLD,,Articles 348 and 350 of the Code of Criminal Procedure,,,CHAMBER,6;6+6-3-d;6-1;6-3;6-3-d;35;35-3-a;41,4.799493,2205/16;9154/10;48898/99;21668/12;37164/17;44898/10;1006/07;56581/00;46221/99;37617/10;53791/11;23192/15;22238/13;54789/00;30779/04;44023/02;22502/02;926/05;50541/08;22978/05;71034/13;33354/96;11423/03;36658/05;26766/05;22228/06;11082/06;13772/05;51111/07;42757/05;7259/03;34209/96;25307/10;55287/10;13479/11;4570/07;65400/10;47938/07
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing;Adversarial trial),,,65610/16,6;6-1,ENG,27,001-207366,4,19/01/2021 00:00:00,CASE OF KLOPSTRA v. SPAIN,ECLI:CE:ECHR:2021:0119JUD006561016,,,HEJUD,DE SWART A.J.M,FALSE,ESP,,,,,COMMITTEE,6;6-1,4.799493,65610/16;60484/16;37685/10;22768/10;20452/14;16563/11;76550/13;45938/14;2430/06;1454/08;11670/10;12938/12;10978/06;7942/05;24838/05;71872/12;423/03;41745/02;53431/99;31107/96
Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect),,,20690/17,3,ENG,27,001-207368,4,19/01/2021 00:00:00,CASE OF GONZALEZ ETAYO v. SPAIN,ECLI:CE:ECHR:2021:0119JUD002069017,,,HEJUD,CARRERA CIRIZA J.,FALSE,ESP,,,,,COMMITTEE,3,4.799493,
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,58166/18,P1-1;P1-1-1,ENG,26,001-207369,4,19/01/2021 00:00:00,CASE OF PUIŠYS v. LITHUANIA,ECLI:CE:ECHR:2021:0119JUD005816618,,,HEJUD,ČERKA P.,FALSE,LTU,,,,,COMMITTEE,P1-1;P1-1-1,4.799493,58166/18;25545/14;36862/05;67810/10;52142/12;13712/11;17153/11;63246/10;35810/09;46577/15;70520/10;25747/07;17978/05;69419/13;30544/96;25774/05;21151/04;49426/09;13378/05;39692/09;40167/06
Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect);Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect);Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing);Non-pecuniary damage - finding of violation sufficient (Article 41 - Non-pecuniary damage;Just satisfaction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction);Respondent State to take measures of a general character (Article 46-2 - General measures),,25th General Report of the European Committee for the Prevention of Torture and Inhuman or Degrading Treatment or Punishment (CPT/Inf (2016) 10),78638/11;6086/14;11402/17;82420/17,3;6;6-1,ENG,6,001-207371,3,19/01/2021 00:00:00,CASE OF SHLYKOV AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0119JUD007863811,"Ananyev and Others v. Russia, nos. 42525/07 and 60800/08, §§ 94 and 104, 10 January 2012;Artyomov v. Russia, no. 14146/02, § 115, 27 May 2010;Avcı and Others v. Turkey, no. 70417/01, § 38, 27 June 2006;Christine Goodwin v. the United Kingdom [GC], no. 28957/95, § 120, ECHR 2002 VI;Dennis and Others v. the United Kingdom (dec.), no. 76573/01, 2 July 2002;Fartushin v. Russia, no. 38887/09, § 67, 8 October 2015;Garriguenc v. France (dec.), no. 21148/02, 15 November 2007;Gömi and Others v. Turkey, no. 35962/97, § 77, 21 December 2006;Goriunov v. the Republic of Moldova, no. 14466/12, § 33, 29 May 2018;Gorlov and Others v. Russia, nos. 27057/06 and 2 others, § 120, 2 July 2019;Gorshchuk v. Russia, no. 31316/09, § 45, 6 October 2015;Harakchiev and Tolumov v. Bulgaria, nos. 15018/11 and 61199/12, § 208, ECHR 2014 (extracts);Hénaf v. France, no. 65436/01, § 48, ECHR 2003 XI;Hirst v. the United Kingdom (no. 2) [GC], no. 74025/01, § 93, ECHR 2005 IX;Johnston and Others v. Ireland, 18 December 1986, § 22, Series A no. 112;Julin v. Estonia, nos. 16563/08 and 3 others, §§ 129-130, 29 May 2012;Kashavelov v. Bulgaria, no. 891/05, §§ 38-40, 20 January 2011;Kaverzin v. Ukraine, no. 23893/03, §§ 156 and 159-160, 15 May 2012;Korneykova and Korneykov v. Ukraine, no. 56660/12, §§ 112-16, 24 March 2016;Koval v. Ukraine (dec.), no. 65550/01, 30 March 2004;Kudła v. Poland [GC], no. 30210/96, §§ 92-94, ECHR 2000 XI;Labita v. Italy [GC], no. 26772/95, § 119, ECHR 2000 IV;Mathew v. the Netherlands, no. 24919/03, § 180, ECHR 2005 IX;Mouisel v. France, no. 67263/01, § 47, ECHR 2002 IX;Mozer v. the Republic of Moldova and Russia [GC], no. 11138/10, § 178, 23 February 2016;Muršić v. Croatia [GC], no. 7334/13, § 96, 20 October 2016;N.T. v. Russia, no. 14727/11, § 53, 2 June 2020;Nevmerzhitskiy v. Ukraine (dec.), no. 54825/00, 25 November 2003;Novokreshchin v. Russia, no. 40573/08, § 15, 27 November 2014;Okhrimenko v. Ukraine, no. 53896/07, § 98, 15 October 2009;A.J.P. v. France, no. 17020/05, § 95, 29 October 2009;Pitalev v. Russia, no. 34393/03, § 66, 30 July 2009;Posti and Rahko v. Finland, no. 27824/95, § 39, ECHR 2002‑VII;Raninen v. Finland, 16 December 1997, §§ 56-58, Reports of Judgments and Decisions 1997 VIII;S. and Marper v. the United Kingdom [GC], nos. 30562/04 and 30566/04, § 134, ECHR 2008;Saadi v. Italy [GC], no. 37201/06, § 188, ECHR 2008;Sabri Güneş v. Turkey [GC], no. 27396/06, § 29, 29 June 2012;Salakhov and Islyamova v. Ukraine, no. 28005/08, §§ 155 and 156, 14 March 2013;Sapožkovs v. Latvia, no. 8550/03, § 64, 11 February 2014;Seleznev v. Russia, no. 15591/03, § 34, 26 June 2008;Shmelev and Others v. Russia (dec.), no. 41743/17, §§ 87 and 89, 17 March 2020;Steel and Morris v. the United Kingdom, no. 68416/01, §§ 59-60, ECHR 2005-II;Svinarenko and Slyadnev v. Russia [GC], nos. 32541/08 and 43441/08, §§ 79 and 85, ECHR 2014 (extracts);Tali v. Estonia, no. 66393/10, § 75, 13 February 2014;Tarariyeva v. Russia (dec.), no. 4353/03, 11 October 2005;Tomov and Others v. Russia, nos. 18255/10 and 5 others, § 114, 9 April 2019;Vernillo v. France, 20 February 1991, § 27, Series A no. 198;Vinter and Others v. the United Kingdom [GC], nos. 66069/09 and 2 others, § 136, ECHR 2013 (extracts);Yevdokimov and Others v. Russia, nos. 27236/05 and 10 others, 16 February 2016",,HEJUD,MARKOV E.V. ; DRUZHKOVA O.V. ; LAPTEV A.N. ,FALSE,RUS,17,"Penal Institutions Act (Federal Law no. 5473-1 of 21 July 1993) ; Internal Rules of Penal Facilities approved by Order of the Ministry of Justice no. 205 on 3 November 2005 ; Prevention of Crimes Committed by Detainees, approved by Orders of the Ministry of Justice no. 333 of 20 November 2006 and no. 72 of 20 May 2013",,,CHAMBER,3;6;6-1;41;46;46-2,4.799493,78638/11;6086/14;11402/17;82420/17;27236/05;32541/08;43441/08;42525/07;60800/08;41743/17;27396/06;76573/01;15591/03;65550/01;27824/95;54825/00;4353/03;40573/08;14146/02;26772/95;7334/13;30210/96;11138/10;18255/10;67263/01;65436/01;24919/03;891/05;70417/01;21148/02;18541/04;16563/08;10662/06;14727/11;14466/12;53896/07;28005/08;56660/12;17020/05;23893/03;35962/97;8550/03;66393/10;15018/11;61199/12;68416/01;28957/95;74025/01;37201/06;30562/04;30566/04;66069/09;27057/06;34393/03;38887/09;31316/09
Violation of Article 5 - Right to liberty and security (Article 5-4 - Procedural guarantees of review);Violation of Article 5 - Right to liberty and security (Article 5-5 - Compensation),,,62657/12,5;5-4;5-5,ENG,26,001-207372,4,19/01/2021 00:00:00,CASE OF OKUYUCU v. TURKEY,ECLI:CE:ECHR:2021:0119JUD006265712,,,HEJUD,BOĞATEKİN H.,FALSE,TUR,,,,,COMMITTEE,5;5-4;5-5,4.799493,62657/12;31610/08;6670/10;67696/11;50070/10;40708/11
Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);No violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment;Inhuman treatment) (Substantive aspect);Violation of Article 3 - Prohibition of torture (Article 3 - Effective investigation) (Procedural aspect);Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention),,,21840/13;22271/13,3;5;5-1,ENG,27,001-207373,4,19/01/2021 00:00:00,CASE OF KRAMARENKO AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0119JUD002184013,,3,HEJUD,GNEZDILOVA O.A.,FALSE,RUS,,,,,COMMITTEE,3;5;5-1,4.799493,21840/13;22271/13;26107/13;46956/09;68736/11;64752/09;23380/09;47274/15;22978/05;21388/15;29226/03;59261/00;53659/07
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Access to court),,,45379/13,6;6-1,ENG,26,001-207374,4,19/01/2021 00:00:00,CASE OF PIETRIŞ S.A. AND NASTAS v. THE REPUBLIC OF MOLDOVA,ECLI:CE:ECHR:2021:0119JUD004537913,,,HEJUD,SOȚCHI I.,FALSE,MDA,,,,,COMMITTEE,6;6-1,4.799493,45379/13;36813/97;44151/12;12468/15;14092/06
Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life;Respect for private life);Violation of Article 13+8 - Right to an effective remedy (Article 13 - Effective remedy) (Article 8 - Right to respect for private and family life;Article 8-1 - Respect for family life;Respect for private life),,,12981/15,8;8-1;13;13+8,ENG,27,001-207376,4,19/01/2021 00:00:00,CASE OF TASHUYEV v. RUSSIA,ECLI:CE:ECHR:2021:0119JUD001298115,,,HEJUD,KOGAN V. ; VESSELINK E.,FALSE,RUS,,,,,COMMITTEE,8;8-1;13;13+8,4.799493,12981/15;70/20;76/17;38450/05;18071/05;7988/09;22089/07
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Fair hearing;Adversarial trial),,,56911/14,6;6-1,ENG,27,001-207378,4,21/01/2021 00:00:00,CASE OF SHIGALEV v. RUSSIA,ECLI:CE:ECHR:2021:0121JUD005691114,,,HEJUD,,FALSE,RUS,,,,,COMMITTEE,6;6-1,4.799493,56911/14;26307/95;42399/13;68416/01;27236/05;41743/17;42933/13
Violation of Article 5 - Right to liberty and security (Article 5-1 - Lawful arrest or detention;Article 5-1-a - After conviction);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,58925/14;58969/14;58976/14;58981/14;59120/14,5;5-1;5-1-a,ENG,23,001-207379,3,21/01/2021 00:00:00,CASE OF VORONTSOV AND OTHERS v. UKRAINE,ECLI:CE:ECHR:2021:0121JUD005892514,"Dubovtsev and Others v. Ukraine, nos. 21429/14 and 9 others, §§ 71, 81 and 83, 21 January 2021;Gumeniuc v. the Republic of Moldova, no. 48829/06, §§ 24-26, 16 May 2017;Gurepka v. Ukraine, no. 61406/00, § 39, 6 September 2005;Ilaşcu and Others v. Moldova and Russia [GC], no. 48787/99, § 461, ECHR 2004 VII;Kadura and Smaliy v. Ukraine, nos. 42753/14 and 43860/14, § 153, 21 January 2021;Kasparov and Others v. Russia, no. 21613/07, § 64, 3 October 2013;Lutsenko and Verbytskyy v. Ukraine, nos. 12482/14 and 39800/14, §§ 115 and 121, 21 January 2021;Oleksiy Mykhaylovych Zakharkin v. Ukraine, no. 1727/04, §§ 86-88, 24 June 2010;Othman (Abu Qatada) v. the United Kingdom, no. 8139/09, § 259, ECHR 2012;Shmorgunov and Others v. Ukraine, nos. 15367/14 and 13 others, 21 January 2021;Shvydka v. Ukraine, no. 17888/12, § 53, 30 October 2014;Stoichkov v. Bulgaria, no. 9808/02, §§ 51 and 58, 24 March 2005",,HEJUD,OKHOTNIKOVA N.G. ; TOKAREV G.V.,FALSE,UKR,17,"<div class=""ExternalClassACC4096BE3824B998BCFFD196831C7EE"">Article 185 of the Code of Administrative Offences of 1984</div>",,,CHAMBER,5;5-1;5-1-a;41,4.799493,58925/14;15367/14;58981/14;58969/14;58976/14;40221/18;17888/12;21429/14;1727/04;61406/00;48787/99;9808/02;8139/09;48829/06;21613/07;12482/14;39800/14;42753/14;43860/14;59120/14
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,59017/14,P1-1;P1-1-1,ENG,25,001-207380,4,21/01/2021 00:00:00,CASE OF KOSURNYIKOV AND OTHERS v. HUNGARY,ECLI:CE:ECHR:2021:0121JUD005901714,,,HEJUD,FALUSI A.,FALSE,HUN,,,,,COMMITTEE,P1-1;P1-1-1,4.799493,59017/14;44473/06
Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect),,,37620/15;41368/15;43353/15;44659/15;45432/15;52355/15;52965/15;52967/15;56086/15;58981/15;4238/16,3,ENG,28,001-207381,4,21/01/2021 00:00:00,CASE OF NEGHINĂ AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121JUD003762015,,,HEJUD,,FALSE,ROU,,,,,COMMITTEE,3,4.799493,37620/15;41368/15;14224/15;50977/15;7334/13;42525/07;60800/08;61467/12;43353/15;44659/15;52355/15;56086/15;58981/15;4238/16;24/02;10/09;29/10;16/06;45432/15;01/09;52965/15;52967/15
Violation of Article 8 - Right to respect for private and family life (Article 8-1 - Respect for family life);Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect);Violation of Article 13+3 - Right to an effective remedy (Article 13 - Effective remedy) (Article 3 - Prohibition of torture;Degrading treatment);Violation of Article 13+8-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 8-1 - Respect for family life;Article 8 - Right to respect for private and family life),,,55829/15;50396/19;53879/19;56169/19;56673/19;58037/19;59587/19;62473/19;1619/20,3;8;8-1;13;13+3;13+8-1,ENG,27,001-207382,4,21/01/2021 00:00:00,CASE OF SAIDOV AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0121JUD005582915,,,HEJUD,,FALSE,RUS,,,,,COMMITTEE,3;8;8-1;13;13+3;13+8-1,4.799493,55829/15;41418/04;11082/06;13772/05;35090/09;39747/10;5826/03;58037/19;41743/17;50396/19;53879/19;56169/19;56673/19;59587/19;62473/19;1619/20
Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect),,,27929/16;44783/16;45200/16;53343/16;53643/16;53688/16;61632/16,3,ENG,28,001-207383,4,21/01/2021 00:00:00,CASE OF RUSU AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121JUD002792916,,,HEJUD,CIPRIAN FINICĂ S. ; GINȚU L. ; MĂRGĂRIT I.,FALSE,ROU,,,,,COMMITTEE,3,4.799493,27929/16;14224/15;50977/15;7334/13;42525/07;60800/08;61467/12;44783/16;45200/16;53343/16;53643/16;53688/16;14/06;61632/16
Violation of Article 3 - Prohibition of torture (Article 3 - Degrading treatment) (Substantive aspect),,,29536/16;33663/16;41188/16;41368/16;42388/16;52497/16;59849/16;60625/16;61915/16;62484/16,3,ENG,28,001-207384,4,21/01/2021 00:00:00,CASE OF BURCICĂ AND OTHERS v. ROMANIA,ECLI:CE:ECHR:2021:0121JUD002953616,,,HEJUD,PETER I.-M. ; BIRO V.R.,FALSE,ROU,,,,,COMMITTEE,3,4.799493,29536/16;14224/15;50977/15;7334/13;42525/07;60800/08;61467/12;41188/16;59849/16;60625/16;33663/16;41368/16;42388/16;52497/16;61915/16;62484/16
Preliminary objection dismissed (Art. 34) Individual applications;(Art. 34) Locus standi;Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Access to court);Non-pecuniary damage - award (Article 41 - Non-pecuniary damage;Just satisfaction),,,54916/16,6;6-1,ENG,4,001-207385,2,21/01/2021 00:00:00,CASE OF TRIVKANOVIĆ v. CROATIA (No. 2),ECLI:CE:ECHR:2021:0121JUD005491616,"Aslakhanova and Others v. Russia, nos. 2944/06 and 4 others, § 100, 18 December 2012;Baničević v. Croatia (dec.), no. 44252/10, 2 October 2012;Bochan v. Ukraine (no. 2) [GC], no. 22251/08, ECHR 2015;Felbab v. Serbia, no. 14011/07, 14 April 2009;Hristozov and Others v. Bulgaria, nos. 47039/11 and 358/12, §§ 71-74, 13 November 2012;Khamidov v. Russia, no. 72118/01, § 170, 15 November 2007;Léger v. France (striking out) [GC], no. 19324/02, § 50, 30 March 2009;Malhous v. the Czech Republic (dec.) [GC], no. 33071/96, ECHR 2000 XII;Moreira Ferreira v. Portugal (no. 2) [GC], no. 19867/12, §§ 70 and 72, 11 July 2017;Pais Pires de Lima v. Portugal, no. 70465/12, § 39, 12 February 2019;Ressegatti v. Switzerland, no. 17671/02, § 23, 13 July 2006;Salman v. Turkey [GC], no. 21986/93, § 100, ECHR 2000 VII;Timurtaş v. Turkey, no. 23531/94, § 86, ECHR 2000 VI;Varnava and Others v. Turkey [GC], nos. 16064/90 and 8 others, §§ 173-184, ECHR 2009;Vrtar v. Croatia, no. 39380/13, 7 January 2016;Yaremenko v. Ukraine (no. 2), no. 66338/09, § 56, 30 April 2015",,HEJUD,ŠUŠAK L.,FALSE,HRV,,"<div class=""ExternalClassCD9EB1B3A7814D549646873447DDA94F"">Articles 95 and 120 of the Basic Criminal Code of Croatia ; Obligations Act 1978 ; Act on the Liability of the Republic of Croatia for Damage Caused by Members of the Croatian Armed Forces and Police During the Homeland War, entered into force on 31 July 2003</div>",,,CHAMBER,2;2-1;6;6-1;34;41,4.799493,54916/16;44252/10;53/91;12986/13;29/78;117/03;272/07;2319/14;471/06;270/06;1518/10;1668/10;4/77;10/74;5977/03;55955/00;17671/02;33071/96;70465/12;47039/11;358/12;19324/02;14011/07;22251/08;53203/99;67051/01;19867/12;66338/09;71593/11;39380/13;72118/01;23531/94;2944/06;16064/90;21986/93
Violation of Article 1 of Protocol No. 1 - Protection of property (Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions);Violation of Article 13+P1-1-1 - Right to an effective remedy (Article 13 - Effective remedy) (Article 1 of Protocol No. 1 - Protection of property;Article 1 para. 1 of Protocol No. 1 - Peaceful enjoyment of possessions),,,48382/17,13;13+P1-1-1;P1-1;P1-1-1,ENG,25,001-207386,4,21/01/2021 00:00:00,CASE OF ELLIS AND SCILIO v. MALTA,ECLI:CE:ECHR:2021:0121JUD004838217,,,HEJUD,GRECH J.,FALSE,MLT,,,,,COMMITTEE,13;13+P1-1-1;P1-1;P1-1-1,4.799493,48382/17;47045/06;46931/12;23755/07;16483/12;55747/16
Violation of Article 5 - Right to liberty and security (Article 5-3 - Length of pre-trial detention);Violation of Article 5 - Right to liberty and security (Article 5-4 - Speediness of review),,,74883/17;249/18;4237/18;14053/18;27001/18;14634/19;28330/19;47326/19;820/20,5;5-3;5-4,ENG,27,001-207387,4,21/01/2021 00:00:00,CASE OF BOKHONOV AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0121JUD007488317,,,HEJUD,IVANOVA I.A. ; STAVITSKAYA A.E. ; RADNAYEVA N.V. ; ALEKSEYENKO D.A. ; SERGEYCHIK Y.S. ; SOKOLOV D.A. ; MEMORIAL HUMAN RIGHTS CENTRE ; SKORYY M.G. ; SUKHAREVA T.V.,FALSE,RUS,,,,,COMMITTEE,5;5-3;5-4,4.799493,74883/17;30210/96;543/03;41461/10;249/18;28330/19;820/20;5826/03;4237/18;55299/07;14053/18;27001/18;14634/19;47326/19
Violation of Article 5 - Right to liberty and security (Article 5-3 - Length of pre-trial detention);Violation of Article 5 - Right to liberty and security (Article 5-4 - Speediness of review),,,18764/18;24732/19;36724/19;52304/19;1940/20,5;5-3;5-4,ENG,27,001-207388,4,21/01/2021 00:00:00,CASE OF SOROKIN AND OTHERS v. RUSSIA,ECLI:CE:ECHR:2021:0121JUD001876418,,,HEJUD,PANFILOV D.V. ; PEREDRUK A.D. ; PETROPAVLOVSKIY V.N. ; RAYEVSKIY A.A. ; SHUKHARDIN V.V.,FALSE,RUS,,,,,COMMITTEE,5;5-3;5-4,4.799493,18764/18;30210/96;543/03;41461/10;1940/20;5826/03;52304/19;55299/07;24732/19;36724/19
Violation of Article 5 - Right to liberty and security (Article 5-3 - Length of pre-trial detention);Violation of Article 5 - Right to liberty and security (Article 5-4 - Speediness of review),,,24672/18;5675/19,5;5-3;5-4,ENG,27,001-207389,4,21/01/2021 00:00:00,CASE OF TIMCHENKO AND SHESTUN v. RUSSIA,ECLI:CE:ECHR:2021:0121JUD002467218,,,HEJUD,MOSKALENKO K.A.,FALSE,RUS,,,,,COMMITTEE,5;5-3;5-4,4.799493,24672/18;5675/19;30210/96;543/03;41461/10;5826/03;41743/17;55299/07
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Reasonable time),,,63997/19,6;6-1,ENG,25,001-207390,4,21/01/2021 00:00:00,CASE OF VENUSTAS KFT v. HUNGARY,ECLI:CE:ECHR:2021:0121JUD006399719,,,HEJUD,LÉKÓ L.,FALSE,HUN,,,,,COMMITTEE,6;6-1,4.799493,63997/19;30979/96;48322/12
Violation of Article 6 - Right to a fair trial (Article 6 - Civil proceedings;Article 6-1 - Reasonable time),,,1872/20,6;6-1,ENG,25,001-207391,4,21/01/2021 00:00:00,CASE OF MINDA AND BARBALICS v. HUNGARY,ECLI:CE:ECHR:2021:0121JUD000187220,,,HEJUD,BARBALICS I.,FALSE,HUN,,,,,COMMITTEE,6;6-1,4.799493,1872/20;30979/96;48322/12
Violation of Article 5 - Right to liberty and security (Article 5-3 - Length of pre-trial detention);Violation of Article 5 - Right to liberty and security (Article 5-4 - Speediness of review),,,37739/20,5;5-3;5-4,ENG,25,001-207392,4,21/01/2021 00:00:00,CASE OF KOLOMPÁR v. HUNGARY,ECLI:CE:ECHR:2021:0121JUD003773920,,,HEJUD,KISS D.S.,FALSE,HUN,,,,,COMMITTEE,5;5-3;5-4,4.799493,37739/20;30210/96;543/03;62631/11;21786/15;50130/12
Remainder inadmissible (Art. 35) Admissibility criteria;(Art. 35-1) Six-month period;(Art. 35-3-a) Manifestly ill-founded;No violation of Article 6+6-3-c - Right to a fair trial (Article 6-1 - Fair hearing) (Article 6 - Right to a fair trial;Article 6-3 - Rights of defence;Article 6-3-c - Defence through legal assistance),,,40321/07,,ENG,23,001-207404,3,14/01/2021 00:00:00,CASE OF FARIZ AHMADOV v. AZERBAIJAN,ECLI:CE:ECHR:2021:0114JUD004032107,"Akdağ v. Turkey, no. 75460/10, § 45, 17 September 2019;Aslanov v. Azerbaijan [Committee], no. 35402/07, § 42, 15 November 2018;Belugin v. Russia, no. 2991/06, § 67, 26 November 2019;Beuze v. Belgium [GC], no. 71409/10, 9 November 2018;Bykov v. Russia [GC], no. 4378/02, §§ 88-93, 10 March 2009;Gäfgen v. Germany [GC], no. 22978/05, §§ 162-165, ECHR 2010;Ibrahim and Others v. the United Kingdom [GC], nos. 50541/08 and 3 others, §§ 249-74, ECHR 2016;Isayeva v. Azerbaijan, no. 36229/11, § 62, 25 June 2015;Murtazaliyeva v. Russia [GC], no. 36658/05, §§ 117-118, 18 December 2018;Sakit Zahidov v. Azerbaijan, no. 51164/07, § 61, 12 November 2015;Schenk v. Switzerland, judgment of 12 July 1988, Series A no. 140, p. 29, § 45;Simeonovi v. Bulgaria [GC], no. 21980/04, §§ 115 and 122-128, ECHR 2017;Trymbach v. Ukraine, no. 44385/02, § 64, 12 January 2012;Vasiliauskas v. Lithuania [GC], no. 35343/05, § 160, ECHR 2015;Zinchenko v. Ukraine, no. 63763/11, § 89, 13 March 2014",6;6+6-3-c;6-1;6-3;6-3-c,HEJUD,ALIYEV I. ,FALSE,AZE,,"<div class=""ExternalClassF2E92A7197524D86AE094ACABFB29ABB"">Article 92.12 of the Code of Criminal Procedure</div>",,,CHAMBER,6;6+6-3-c;6-1;6-3;6-3-c;35;35-1;35-3-a,4.799493,40321/07;36229/11;35402/07;75460/10;71409/10;21980/04;50541/08;36658/05;35343/05;4378/02;22978/05;2991/06;44385/02;63763/11;51164/07
